ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
2,2462,cap1,-77,42,2023-12-13 16:21:03,214,10
1,2462,cap2,-53,42,2023-12-13 16:21:03,214,9
1,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
1,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
1,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-77,42,2023-12-13 16:21:03,214,6
2,2462,cap2,-61,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-77,42,2023-12-13 16:21:03,214,6
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-77,42,2023-12-13 16:21:03,214,6
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
2,2462,cap1,-83,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap1,-83,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap1,-83,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap1,-76,42,2023-12-13 16:21:03,214,6
1,2462,cap1,-78,42,2023-12-13 16:21:03,214,11
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
2,2462,cap1,-83,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-80,42,2023-12-13 16:21:03,214,6
2,2462,cap1,-83,42,2023-12-13 16:21:03,214,7
1,2462,cap1,-80,42,2023-12-13 16:21:03,214,6
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
2,2462,cap2,-55,42,2023-12-13 16:21:03,214,10
2,2462,cap1,-83,42,2023-12-13 16:21:03,214,7
